x,y
1.0,1100.0
2.0,1200.0
3.0,1300.0
4.0,1400.0
5.0,1500.0
6.0,1600.0
7.0,1700.0
8.0,1800.0
9.0,1900.0
10.0,2000.0
11.0,2100.0
12.0,2200.0
13.0,2300.0
14.0,2400.0
15.0,2500.0
16.0,2600.0
17.0,2700.0
18.0,2800.0
19.0,2900.0
20.0,3000.0
21.0,3100.0
22.0,3200.0
23.0,3300.0
24.0,3400.0
25.0,3500.0
26.0,3600.0
27.0,3700.0
28.0,3800.0
29.0,3900.0
30.0,4000.0
31.0,4100.0
32.0,4200.0
33.0,4300.0
34.0,4400.0
35.0,4500.0
36.0,4600.0
37.0,4700.0
38.0,4800.0
39.0,4900.0
40.0,5000.0
41.0,5100.0
42.0,5200.0
43.0,5300.0
44.0,5400.0
45.0,5500.0
46.0,5600.0
47.0,5700.0
48.0,5800.0
49.0,5900.0
50.0,6000.0
51.0,6100.0
52.0,6200.0
53.0,6300.0
54.0,6400.0
55.0,6500.0
56.0,6600.0
57.0,6700.0
58.0,6800.0
59.0,6900.0
60.0,7000.0
61.0,7100.0
62.0,7200.0
63.0,7300.0
64.0,7400.0
65.0,7500.0
66.0,7600.0
67.0,7700.0
68.0,7800.0
69.0,7900.0
70.0,8000.0
71.0,8100.0
72.0,8200.0
73.0,8300.0
74.0,8400.0
75.0,8500.0
76.0,8600.0
77.0,8700.0
78.0,8800.0
79.0,8900.0
80.0,9000.0
81.0,9100.0
82.0,9200.0
83.0,9300.0
84.0,9400.0
85.0,9500.0
86.0,9600.0
87.0,9700.0
88.0,9800.0
89.0,9900.0
90.0,10000.0
91.0,10100.0
92.0,10200.0
93.0,10300.0
94.0,10400.0
95.0,10500.0
96.0,10600.0
97.0,10700.0
98.0,10800.0
99.0,10900.0
100.0,11000.0
101.0,11100.0
102.0,11200.0
103.0,11300.0
104.0,11400.0
105.0,11500.0
106.0,11600.0
107.0,11700.0
108.0,11800.0
109.0,11900.0
110.0,12000.0
111.0,12100.0
112.0,12200.0
113.0,12300.0
114.0,12400.0
115.0,12500.0
116.0,12600.0
117.0,12700.0
118.0,12800.0
119.0,12900.0
120.0,13000.0
121.0,13100.0
122.0,13200.0
123.0,13300.0
124.0,13400.0
125.0,13500.0
126.0,13600.0
127.0,13700.0
128.0,13800.0
129.0,13900.0
130.0,14000.0
131.0,14100.0
132.0,14200.0
133.0,14300.0
134.0,14400.0
135.0,14500.0
136.0,14600.0
137.0,14700.0
138.0,14800.0
139.0,14900.0
140.0,15000.0
141.0,15100.0
142.0,15200.0
143.0,15300.0
144.0,15400.0
145.0,15500.0
146.0,15600.0
147.0,15700.0
148.0,15800.0
149.0,15900.0
150.0,16000.0
151.0,16100.0
152.0,16200.0
153.0,16300.0
154.0,16400.0
155.0,16500.0
156.0,16600.0
157.0,16700.0
158.0,16800.0
159.0,16900.0
160.0,17000.0
161.0,17100.0
162.0,17200.0
163.0,17300.0
164.0,17400.0
165.0,17500.0
166.0,17600.0
167.0,17700.0
168.0,17800.0
169.0,17900.0
170.0,18000.0
171.0,18100.0
172.0,18200.0
173.0,18300.0
174.0,18400.0
175.0,18500.0
176.0,18600.0
177.0,18700.0
178.0,18800.0
179.0,18900.0
180.0,19000.0
181.0,19100.0
182.0,19200.0
183.0,19300.0
184.0,19400.0
185.0,19500.0
186.0,19600.0
187.0,19700.0
188.0,19800.0
189.0,19900.0
190.0,20000.0
191.0,20100.0
192.0,20200.0
193.0,20300.0
194.0,20400.0
195.0,20500.0
196.0,20600.0
197.0,20700.0
198.0,20800.0
199.0,20900.0
200.0,21000.0
201.0,21100.0
202.0,21200.0
203.0,21300.0
204.0,21400.0
205.0,21500.0
206.0,21600.0
207.0,21700.0
208.0,21800.0
209.0,21900.0
210.0,22000.0
211.0,22100.0
212.0,22200.0
213.0,22300.0
214.0,22400.0
215.0,22500.0
216.0,22600.0
217.0,22700.0
218.0,22800.0
219.0,22900.0
220.0,23000.0
221.0,23100.0
222.0,23200.0
223.0,23300.0
224.0,23400.0
225.0,23500.0
226.0,23600.0
227.0,23700.0
228.0,23800.0
229.0,23900.0
230.0,24000.0
231.0,24100.0
232.0,24200.0
233.0,24300.0
234.0,24400.0
235.0,24500.0
236.0,24600.0
237.0,24700.0
238.0,24800.0
239.0,24900.0
240.0,25000.0
241.0,25100.0
242.0,25200.0
243.0,25300.0
244.0,25400.0
245.0,25500.0
246.0,25600.0
247.0,25700.0
248.0,25800.0
249.0,25900.0
250.0,26000.0
251.0,26100.0
252.0,26200.0
253.0,26300.0
254.0,26400.0
255.0,26500.0
256.0,26600.0
257.0,26700.0
258.0,26800.0
259.0,26900.0
260.0,27000.0
261.0,27100.0
262.0,27200.0
263.0,27300.0
264.0,27400.0
265.0,27500.0
266.0,27600.0
267.0,27700.0
268.0,27800.0
269.0,27900.0
270.0,28000.0
271.0,28100.0
272.0,28200.0
273.0,28300.0
274.0,28400.0
275.0,28500.0
276.0,28600.0
277.0,28700.0
278.0,28800.0
279.0,28900.0
280.0,29000.0
281.0,29100.0
282.0,29200.0
283.0,29300.0
284.0,29400.0
285.0,29500.0
286.0,29600.0
287.0,29700.0
288.0,29800.0
289.0,29900.0
290.0,30000.0
291.0,30100.0
292.0,30200.0
293.0,30300.0
294.0,30400.0
295.0,30500.0
296.0,30600.0
297.0,30700.0
298.0,30800.0
299.0,30900.0
300.0,31000.0
301.0,31100.0
302.0,31200.0
303.0,31300.0
304.0,31400.0
305.0,31500.0
306.0,31600.0
307.0,31700.0
308.0,31800.0
309.0,31900.0
310.0,32000.0
311.0,32100.0
312.0,32200.0
313.0,32300.0
314.0,32400.0
315.0,32500.0
316.0,32600.0
317.0,32700.0
318.0,32800.0
319.0,32900.0
320.0,33000.0
321.0,33100.0
322.0,33200.0
323.0,33300.0
324.0,33400.0
325.0,33500.0
326.0,33600.0
327.0,33700.0
328.0,33800.0
329.0,33900.0
330.0,34000.0
331.0,34100.0
332.0,34200.0
333.0,34300.0
334.0,34400.0
335.0,34500.0
336.0,34600.0
337.0,34700.0
338.0,34800.0
339.0,34900.0
340.0,35000.0
341.0,35100.0
342.0,35200.0
343.0,35300.0
344.0,35400.0
345.0,35500.0
346.0,35600.0
347.0,35700.0
348.0,35800.0
349.0,35900.0
350.0,36000.0
351.0,36100.0
352.0,36200.0
353.0,36300.0
354.0,36400.0
355.0,36500.0
356.0,36600.0
357.0,36700.0
358.0,36800.0
359.0,36900.0
360.0,37000.0
361.0,37100.0
362.0,37200.0
363.0,37300.0
364.0,37400.0
365.0,37500.0
366.0,37600.0
367.0,37700.0
368.0,37800.0
369.0,37900.0
370.0,38000.0
371.0,38100.0
372.0,38200.0
373.0,38300.0
374.0,38400.0
375.0,38500.0
376.0,38600.0
377.0,38700.0
378.0,38800.0
379.0,38900.0
380.0,39000.0
381.0,39100.0
382.0,39200.0
383.0,39300.0
384.0,39400.0
385.0,39500.0
386.0,39600.0
387.0,39700.0
388.0,39800.0
389.0,39900.0
390.0,40000.0
391.0,40100.0
392.0,40200.0
393.0,40300.0
394.0,40400.0
395.0,40500.0
396.0,40600.0
397.0,40700.0
398.0,40800.0
399.0,40900.0
400.0,41000.0
401.0,41100.0
402.0,41200.0
403.0,41300.0
404.0,41400.0
405.0,41500.0
406.0,41600.0
407.0,41700.0
408.0,41800.0
409.0,41900.0
410.0,42000.0
411.0,42100.0
412.0,42200.0
413.0,42300.0
414.0,42400.0
415.0,42500.0
416.0,42600.0
417.0,42700.0
418.0,42800.0
419.0,42900.0
420.0,43000.0
421.0,43100.0
422.0,43200.0
423.0,43300.0
424.0,43400.0
425.0,43500.0
426.0,43600.0
427.0,43700.0
428.0,43800.0
429.0,43900.0
430.0,44000.0
431.0,44100.0
432.0,44200.0
433.0,44300.0
434.0,44400.0
435.0,44500.0
436.0,44600.0
437.0,44700.0
438.0,44800.0
439.0,44900.0
440.0,45000.0
441.0,45100.0
442.0,45200.0
443.0,45300.0
444.0,45400.0
445.0,45500.0
446.0,45600.0
447.0,45700.0
448.0,45800.0
449.0,45900.0
450.0,46000.0
451.0,46100.0
452.0,46200.0
453.0,46300.0
454.0,46400.0
455.0,46500.0
456.0,46600.0
457.0,46700.0
458.0,46800.0
459.0,46900.0
460.0,47000.0
461.0,47100.0
462.0,47200.0
463.0,47300.0
464.0,47400.0
465.0,47500.0
466.0,47600.0
467.0,47700.0
468.0,47800.0
469.0,47900.0
470.0,48000.0
471.0,48100.0
472.0,48200.0
473.0,48300.0
474.0,48400.0
475.0,48500.0
476.0,48600.0
477.0,48700.0
478.0,48800.0
479.0,48900.0
480.0,49000.0
481.0,49100.0
482.0,49200.0
483.0,49300.0
484.0,49400.0
485.0,49500.0
486.0,49600.0
487.0,49700.0
488.0,49800.0
489.0,49900.0
490.0,50000.0
491.0,50100.0
492.0,50200.0
493.0,50300.0
494.0,50400.0
495.0,50500.0
496.0,50600.0
497.0,50700.0
498.0,50800.0
499.0,50900.0
500.0,51000.0
501.0,51100.0
502.0,51200.0
503.0,51300.0
504.0,51400.0
505.0,51500.0
506.0,51600.0
507.0,51700.0
508.0,51800.0
509.0,51900.0
510.0,52000.0
511.0,52100.0
512.0,52200.0
513.0,52300.0
514.0,52400.0
515.0,52500.0
516.0,52600.0
517.0,52700.0
518.0,52800.0
519.0,52900.0
520.0,53000.0
521.0,53100.0
522.0,53200.0
523.0,53300.0
524.0,53400.0
525.0,53500.0
526.0,53600.0
527.0,53700.0
528.0,53800.0
529.0,53900.0
530.0,54000.0
531.0,54100.0
532.0,54200.0
533.0,54300.0
534.0,54400.0
535.0,54500.0
