epoca,a,b,mse
0,99.9998474121,-19949.9218750000,133332168.0000000000
1,33.3335075378,13416.5800781250,59258436.0000000000
2,77.7776260376,-8827.7031250000,26336970.0000000000
3,48.1482238770,6001.8144531250,11705377.0000000000
4,67.9011611938,-3884.5312500000,5202355.5000000000
5,54.7325706482,2706.3476562500,2312150.0000000000
6,63.5116157532,-1687.5644531250,1027619.1875000000
7,57.6589279175,1241.7070312500,456717.6562500000
8,61.5607109070,-711.1367187500,202984.5000000000
9,58.9595260620,590.7578125000,90215.4687500000
10,60.6936492920,-277.1718750000,40095.7187500000
11,59.5375709534,301.4453125000,17820.0253906250
12,60.3082847595,-84.2968750000,7919.9497070312
13,59.7944755554,172.8652343750,3520.0200195312
14,60.1370162964,1.4238281250,1564.4543457031
15,59.9086570740,115.7167968750,695.2934570312
16,60.0608940125,39.5234375000,309.0068969727
17,59.9594039917,90.3183593750,137.3360900879
18,60.0270652771,56.4531250000,61.0436363220
19,59.9819564819,79.0312500000,27.1307945251
20,60.0120277405,63.9804687500,12.0555667877
21,59.9919815063,74.0136718750,5.3579764366
22,60.0053443909,67.3242187500,2.3801956177
23,59.9964370728,71.7832031250,1.0578827858
24,60.0023765564,68.8105468750,0.4706692696
25,59.9984169006,70.7929687500,0.2088463455
26,60.0010566711,69.4707031250,0.0930457935
27,59.9992942810,70.3535156250,0.0415044837
28,60.0004692078,69.7656250000,0.0183478314
29,59.9996871948,70.1562500000,0.0081563666
30,60.0002098083,69.8945312500,0.0036687560
31,59.9998588562,70.0703125000,0.0016609700
32,60.0000953674,69.9531250000,0.0007588266
33,59.9999351501,70.0332031250,0.0003561822
34,60.0000419617,69.9785156250,0.0001481422
35,59.9999732971,70.0136718750,0.0000620032
36,60.0000190735,69.9902343750,0.0000336185
37,59.9999885559,70.0058593750,0.0000147641
38,60.0000076294,69.9960937500,0.0000063303
39,59.9999961853,70.0019531250,0.0000004972
40,60.0000000000,70.0000000000,0.0000000000
41,60.0000000000,70.0000000000,0.0000000000
42,60.0000000000,70.0000000000,0.0000000000
43,60.0000000000,70.0000000000,0.0000000000
44,60.0000000000,70.0000000000,0.0000000000
45,60.0000000000,70.0000000000,0.0000000000
46,60.0000000000,70.0000000000,0.0000000000
47,60.0000000000,70.0000000000,0.0000000000
