epoca,a,b,mse
0,99.9997634888,-19949.8203125000,133331920.0000000000
1,33.3334884644,13416.6523437500,59258308.0000000000
2,77.7775650024,-8827.6093750000,26336920.0000000000
3,48.1482696533,6001.8535156250,11705204.0000000000
4,67.9010543823,-3884.4140625000,5202271.0000000000
5,54.7325630188,2706.4140625000,2312120.2500000000
6,63.5115432739,-1687.4648437500,1027603.5625000000
7,57.6589050293,1241.7812500000,456712.5625000000
8,61.5606575012,-711.0468750000,202983.9062500000
9,58.9594955444,590.8359375000,90215.7187500000
10,60.6935997009,-277.0839843750,40097.0507812500
11,59.5375328064,301.5273437500,17821.9746093750
12,60.3082427979,-84.2128906250,7922.1704101562
13,59.7944335938,172.9492187500,3522.2622070312
14,60.1369743347,1.5078125000,1566.6806640625
15,59.9086151123,115.8007812500,697.5280151367
16,60.0608520508,39.6054687500,311.2352600098
17,59.9593620300,90.4023437500,139.5684661865
18,60.0270233154,56.5371093750,63.2738418579
19,59.9819145203,79.1152343750,29.3623046875
20,60.0119857788,64.0644531250,14.2858934402
21,59.9919395447,74.0976562500,7.5892891884
22,60.0053024292,67.4082031250,4.6104621887
23,59.9963951111,71.8671875000,3.2888264656
24,60.0023345947,68.8945312500,2.7012927532
25,59.9983749390,70.8750000000,2.4397304058
26,60.0010147095,69.5546875000,2.3237578869
27,59.9992523193,70.4375000000,2.2722911835
28,60.0004272461,69.8496093750,2.2492439747
29,59.9996452332,70.2402343750,2.2390439510
