x,y
1.0,1101.6
2.0,1199.9
3.0,1300.1
4.0,1398.8
5.0,1500.5
6.0,1599.0
7.0,1700.4
8.0,1798.3
9.0,1898.3
10.0,1999.6
11.0,2099.6
12.0,2198.8
13.0,2298.2
14.0,2397.7
15.0,2497.6
16.0,2598.9
17.0,2699.8
18.0,2801.1
19.0,2899.9
20.0,3002.0
21.0,3097.7
22.0,3198.4
23.0,3299.2
24.0,3400.4
25.0,3501.8
26.0,3599.3
27.0,3698.8
28.0,3797.8
29.0,3901.6
30.0,3999.4
31.0,4100.4
32.0,4202.4
33.0,4297.5
34.0,4398.2
35.0,4501.4
36.0,4601.5
37.0,4701.3
38.0,4800.2
39.0,4902.4
40.0,4999.5
41.0,5100.5
42.0,5197.8
43.0,5299.5
44.0,5401.1
45.0,5498.7
46.0,5602.2
47.0,5700.9
48.0,5798.9
49.0,5901.3
50.0,5997.9
51.0,6102.4
52.0,6197.7
53.0,6302.2
54.0,6398.8
55.0,6501.3
56.0,6597.5
57.0,6698.8
58.0,6801.2
59.0,6900.2
60.0,6998.1
61.0,7099.5
62.0,7199.4
63.0,7300.3
64.0,7400.8
65.0,7501.7
66.0,7600.0
67.0,7699.5
68.0,7798.2
69.0,7901.5
70.0,8001.1
71.0,8099.5
72.0,8200.1
73.0,8300.8
74.0,8398.3
75.0,8497.6
76.0,8599.1
77.0,8700.5
78.0,8799.9
79.0,8901.0
80.0,9001.6
81.0,9099.9
82.0,9198.2
83.0,9301.8
84.0,9400.4
85.0,9501.2
86.0,9601.0
87.0,9702.3
88.0,9799.0
89.0,9901.0
90.0,9999.3
91.0,10099.5
92.0,10198.7
93.0,10299.2
94.0,10402.2
95.0,10499.0
96.0,10598.7
97.0,10700.4
98.0,10798.8
99.0,10899.9
100.0,11001.7
101.0,11098.7
102.0,11199.6
103.0,11300.6
104.0,11400.2
105.0,11502.4
106.0,11600.9
107.0,11701.2
108.0,11802.3
109.0,11899.6
110.0,11999.3
111.0,12097.7
112.0,12198.4
113.0,12298.7
114.0,12398.4
115.0,12501.3
116.0,12600.2
117.0,12700.8
118.0,12801.6
119.0,12898.7
120.0,12999.1
121.0,13101.0
122.0,13199.5
123.0,13297.6
124.0,13399.7
125.0,13502.0
126.0,13599.5
127.0,13699.2
128.0,13802.4
129.0,13900.7
130.0,13999.3
131.0,14098.0
132.0,14201.4
133.0,14301.0
134.0,14402.1
135.0,14498.6
136.0,14598.1
137.0,14701.1
138.0,14798.5
139.0,14898.4
140.0,14999.1
141.0,15101.6
142.0,15200.2
143.0,15297.7
144.0,15399.8
145.0,15500.9
146.0,15600.2
147.0,15700.4
148.0,15798.6
149.0,15901.7
150.0,16000.3
151.0,16101.1
152.0,16202.4
153.0,16299.6
154.0,16401.9
155.0,16497.5
156.0,16597.7
157.0,16700.5
158.0,16799.1
159.0,16898.7
160.0,16998.9
161.0,17099.1
162.0,17201.1
163.0,17300.3
164.0,17401.4
165.0,17501.7
166.0,17601.7
167.0,17699.6
168.0,17799.6
169.0,17902.1
170.0,18000.8
171.0,18097.9
172.0,18200.2
173.0,18299.3
174.0,18402.4
175.0,18497.6
176.0,18600.6
177.0,18701.1
178.0,18798.9
179.0,18902.4
180.0,19001.8
181.0,19102.1
182.0,19197.6
183.0,19300.3
184.0,19399.0
185.0,19501.7
186.0,19600.7
187.0,19700.2
188.0,19798.1
189.0,19900.2
190.0,20000.7
191.0,20102.3
192.0,20200.4
193.0,20302.3
194.0,20402.3
195.0,20500.8
196.0,20600.0
197.0,20699.8
198.0,20802.0
199.0,20897.6
200.0,20998.1
201.0,21098.0
202.0,21201.3
203.0,21299.2
204.0,21400.7
205.0,21500.5
206.0,21599.4
207.0,21700.2
208.0,21800.7
209.0,21902.2
210.0,22000.4
211.0,22100.6
212.0,22197.8
213.0,22302.3
214.0,22400.1
215.0,22501.5
216.0,22597.8
217.0,22699.6
218.0,22798.8
219.0,22898.8
220.0,23001.5
221.0,23100.6
222.0,23199.7
223.0,23297.6
224.0,23402.3
225.0,23502.3
226.0,23598.6
227.0,23697.7
228.0,23800.2
229.0,23902.3
230.0,24002.1
231.0,24100.4
232.0,24199.0
233.0,24299.1
234.0,24402.0
235.0,24500.0
236.0,24598.2
237.0,24698.7
238.0,24798.9
239.0,24898.1
240.0,24999.8
241.0,25102.1
242.0,25200.8
243.0,25297.9
244.0,25397.5
245.0,25498.9
246.0,25599.3
247.0,25701.4
248.0,25802.3
249.0,25899.4
250.0,26000.9
251.0,26102.5
252.0,26201.2
253.0,26300.7
254.0,26397.9
255.0,26499.1
256.0,26602.1
257.0,26698.5
258.0,26801.7
259.0,26901.0
260.0,26999.3
261.0,27100.1
262.0,27200.2
263.0,27301.1
264.0,27400.1
265.0,27498.2
266.0,27601.4
267.0,27699.5
268.0,27802.3
269.0,27898.9
270.0,27998.8
271.0,28099.2
272.0,28200.4
273.0,28302.0
274.0,28398.4
275.0,28498.9
276.0,28600.4
277.0,28699.8
278.0,28799.7
279.0,28901.6
280.0,29002.1
281.0,29099.9
282.0,29200.9
283.0,29301.5
284.0,29400.1
285.0,29499.0
286.0,29600.7
287.0,29700.4
288.0,29802.0
289.0,29897.8
290.0,30002.1
291.0,30100.2
292.0,30197.6
293.0,30299.2
294.0,30401.1
295.0,30499.9
296.0,30602.4
297.0,30699.6
298.0,30799.1
299.0,30901.6
300.0,31000.2
301.0,31100.9
302.0,31201.5
303.0,31300.9
304.0,31399.6
305.0,31498.1
306.0,31600.4
307.0,31702.0
308.0,31799.6
309.0,31902.1
310.0,32000.0
311.0,32100.6
312.0,32201.7
313.0,32300.3
314.0,32398.0
315.0,32502.4
316.0,32598.7
317.0,32701.1
318.0,32800.0
319.0,32899.9
320.0,32998.7
321.0,33101.1
322.0,33198.1
323.0,33302.5
324.0,33401.7
325.0,33500.2
326.0,33599.6
327.0,33698.9
328.0,33800.0
329.0,33901.9
330.0,33998.9
331.0,34100.0
332.0,34198.7
333.0,34299.2
334.0,34398.5
335.0,34502.5
336.0,34600.4
337.0,34701.2
338.0,34798.0
339.0,34899.3
340.0,35002.0
341.0,35097.9
342.0,35198.3
343.0,35300.6
344.0,35400.6
345.0,35501.7
346.0,35602.2
347.0,35698.2
348.0,35798.8
349.0,35899.6
350.0,35997.5
351.0,36097.8
352.0,36198.6
353.0,36299.9
354.0,36398.8
355.0,36501.9
356.0,36599.1
357.0,36702.1
358.0,36802.4
359.0,36899.7
360.0,36998.6
361.0,37099.0
362.0,37201.4
363.0,37298.9
364.0,37399.4
365.0,37499.9
366.0,37600.4
367.0,37702.5
368.0,37798.7
369.0,37899.3
370.0,37998.8
371.0,38099.3
372.0,38198.0
373.0,38299.3
374.0,38401.9
375.0,38499.0
376.0,38599.4
377.0,38702.2
378.0,38801.1
379.0,38900.1
380.0,39001.4
381.0,39098.1
382.0,39199.8
383.0,39298.1
384.0,39398.7
385.0,39498.2
386.0,39599.3
387.0,39699.4
388.0,39802.2
389.0,39898.8
390.0,39999.9
391.0,40101.6
392.0,40201.6
393.0,40301.3
394.0,40398.9
395.0,40500.0
396.0,40598.4
397.0,40698.4
398.0,40799.7
399.0,40901.2
400.0,41000.1
401.0,41101.9
402.0,41201.7
403.0,41297.7
404.0,41400.3
405.0,41500.5
406.0,41602.3
407.0,41697.6
408.0,41800.2
409.0,41898.5
410.0,41997.8
411.0,42100.4
412.0,42201.4
413.0,42301.4
414.0,42397.7
415.0,42499.5
416.0,42597.7
417.0,42698.7
418.0,42798.5
419.0,42898.6
420.0,42999.2
421.0,43098.9
422.0,43202.3
423.0,43299.3
424.0,43402.0
425.0,43498.4
426.0,43601.3
427.0,43697.8
428.0,43799.8
429.0,43897.5
430.0,44001.6
431.0,44102.3
432.0,44197.7
433.0,44302.2
434.0,44401.4
435.0,44499.3
436.0,44602.0
437.0,44699.0
438.0,44799.5
439.0,44898.0
440.0,45000.8
441.0,45097.6
442.0,45199.9
443.0,45300.9
444.0,45401.6
445.0,45498.2
446.0,45601.3
447.0,45701.1
448.0,45800.3
449.0,45900.4
450.0,45998.0
451.0,46100.5
452.0,46199.4
453.0,46301.8
454.0,46399.1
455.0,46500.4
456.0,46599.6
457.0,46701.9
458.0,46798.8
459.0,46897.9
460.0,47001.2
461.0,47099.6
462.0,47200.4
463.0,47297.6
464.0,47402.3
465.0,47501.9
466.0,47600.6
467.0,47697.6
468.0,47799.4
469.0,47902.4
470.0,48000.9
471.0,48098.3
472.0,48199.8
473.0,48302.3
474.0,48400.2
475.0,48497.6
476.0,48600.6
477.0,48698.9
478.0,48798.0
479.0,48899.5
480.0,49000.3
481.0,49097.6
482.0,49200.3
483.0,49300.1
484.0,49401.5
485.0,49499.6
486.0,49600.3
487.0,49701.2
488.0,49802.0
489.0,49899.4
490.0,50000.5
491.0,50101.0
492.0,50197.7
493.0,50301.5
494.0,50399.4
495.0,50500.9
496.0,50599.9
497.0,50701.0
498.0,50801.1
499.0,50898.5
500.0,51000.8
501.0,51101.8
502.0,51198.7
503.0,51301.3
504.0,51400.7
505.0,51502.3
506.0,51598.8
507.0,51698.3
508.0,51799.1
509.0,51898.8
510.0,52001.3
511.0,52101.2
512.0,52200.8
513.0,52298.6
514.0,52401.8
515.0,52502.3
516.0,52600.2
517.0,52700.7
518.0,52800.0
519.0,52898.9
520.0,52998.9
521.0,53099.1
522.0,53198.5
523.0,53302.0
524.0,53401.8
525.0,53499.8
526.0,53599.3
527.0,53702.2
528.0,53798.6
529.0,53900.3
530.0,53997.8
531.0,54098.5
532.0,54200.5
533.0,54300.8
534.0,54400.4
535.0,54501.8
536.0,54602.5
537.0,54701.3
538.0,54799.8
539.0,54901.7
540.0,54998.1
541.0,55100.9
542.0,55200.1
543.0,55298.4
544.0,55402.4
545.0,55499.2
546.0,55600.6
547.0,55701.9
548.0,55800.0
549.0,55898.1
550.0,56001.6
551.0,56099.3
552.0,56202.4
553.0,56301.9
554.0,56401.8
555.0,56499.3
556.0,56601.3
557.0,56702.4
558.0,56800.1
559.0,56899.9
560.0,56997.6
561.0,57101.0
562.0,57201.8
563.0,57298.7
564.0,57399.1
565.0,57500.0
566.0,57597.9
567.0,57697.9
568.0,57799.6
569.0,57898.8
570.0,57999.5
571.0,58099.8
572.0,58202.4
573.0,58302.2
574.0,58398.2
575.0,58501.9
576.0,58597.9
577.0,58700.0
578.0,58798.3
579.0,58899.3
580.0,59001.2
581.0,59099.6
582.0,59201.5
583.0,59301.1
584.0,59402.2
585.0,59500.2
586.0,59601.5
587.0,59699.1
588.0,59799.2
589.0,59899.5
590.0,59999.6
591.0,60098.0
592.0,60200.1
593.0,60298.0
594.0,60401.9
595.0,60497.8
