x,y
550.0,1100.2
560.0,1122.9
51.0,103.4
366.0,732.8
261.0,521.7
226.0,455.3
705.0,1409.6
832.0,1663.1
57.0,115.8
759.0,1517.7
631.0,1260.8
221.0,443.6
968.0,1938.1
863.0,1725.9
363.0,727.2
561.0,1123.6
288.0,576.9
684.0,1370.2
140.0,280.7
928.0,1854.7
342.0,683.5
501.0,1002.1
491.0,981.9
810.0,1622.3
179.0,360.0
96.0,191.4
153.0,305.3
934.0,1867.0
32.0,66.4
339.0,679.4
543.0,1087.5
258.0,517.4
454.0,907.0
869.0,1740.9
660.0,1323.4
455.0,913.3
458.0,914.8
76.0,150.7
950.0,1902.6
163.0,328.1
547.0,1096.0
799.0,1597.8
432.0,865.8
53.0,109.4
820.0,1641.1
745.0,1491.6
248.0,495.4
15.0,28.9
922.0,1845.1
420.0,841.6
536.0,1071.1
379.0,758.8
165.0,333.4
39.0,81.2
510.0,1020.7
885.0,1772.5
564.0,1130.9
971.0,1944.2
849.0,1698.4
896.0,1793.0
394.0,790.7
285.0,570.2
765.0,1532.9
696.0,1392.3
463.0,926.4
62.0,123.1
727.0,1456.0
450.0,903.0
773.0,1545.6
503.0,1007.1
905.0,1812.9
704.0,1406.9
703.0,1404.9
764.0,1528.2
464.0,930.2
188.0,377.4
350.0,703.3
330.0,660.4
351.0,703.7
407.0,814.1
145.0,292.5
112.0,226.7
71.0,145.4
627.0,1256.3
497.0,994.8
152.0,306.8
376.0,751.3
346.0,690.9
222.0,446.9
276.0,555.2
234.0,466.6
502.0,1004.4
535.0,1069.5
138.0,277.8
149.0,300.1
470.0,939.7
946.0,1892.1
873.0,1747.2
664.0,1327.9
485.0,969.2
266.0,534.4
622.0,1246.1
385.0,772.6
785.0,1569.0
712.0,1425.3
403.0,805.0
874.0,1748.1
28.0,59.2
567.0,1135.2
201.0,402.1
66.0,132.3
35.0,68.6
4.0,9.2
890.0,1782.8
81.0,162.1
121.0,244.1
117.0,236.9
422.0,847.5
318.0,637.3
423.0,846.5
983.0,1968.1
195.0,392.2
864.0,1728.2
610.0,1220.3
693.0,1387.2
595.0,1190.0
103.0,208.2
898.0,1797.6
349.0,699.4
793.0,1587.5
63.0,127.8
429.0,860.4
38.0,77.6
577.0,1153.3
371.0,744.0
436.0,872.6
287.0,577.4
228.0,455.6
677.0,1356.1
683.0,1364.6
476.0,954.3
446.0,892.2
59.0,118.8
949.0,1900.1
990.0,1982.4
546.0,1090.6
104.0,211.3
955.0,1909.4
364.0,728.8
948.0,1896.2
93.0,185.2
879.0,1761.1
106.0,213.4
662.0,1326.8
993.0,1985.6
798.0,1595.7
343.0,686.8
135.0,271.3
44.0,86.8
492.0,985.5
597.0,1194.3
511.0,1021.0
554.0,1109.1
293.0,588.6
652.0,1305.4
433.0,865.7
334.0,670.0
232.0,463.6
851.0,1704.9
