versao,a,b,mse,tempo,flash,ram
v0_Original_O2,1.999793,1.069702,2.073502,0.042560,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.040040,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.039938,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.050231,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.050779,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.032625,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.034659,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.050682,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.034271,2822,6720
v0_Original_O2,1.999793,1.069702,2.073502,0.050557,2822,6720
v0_Original_O0,1.999793,1.069702,2.073502,0.192329,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.209950,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.209720,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.212114,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.209917,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.210578,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.209754,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.210720,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.211838,3472,6704
v0_Original_O0,1.999793,1.069702,2.073502,0.210240,3472,6704
