(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.049456
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050690
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.051003
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050491
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.040767
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050613
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050096
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050328
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.050668
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050218
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.049933
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050397
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.051608
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050331
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050193
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050657
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.039261
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.036488
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050954
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050304
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.049149
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.029160
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.029103
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.029485
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.037016
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.038961
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050737
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050328
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.051228
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050860
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.051157
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050567
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.050925
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050111
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050520
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050341
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.051009
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050035
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050356
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050663
