versao,dataset,tempo,code_sz,data_sz
v0_original,0,0.049456,4438,9768
v0_original,1,0.050690,4438,9768
v0_original,2,0.051003,4438,9768
v0_original,3,0.050491,4438,9768
v0_original,0,0.040767,4438,9768
v0_original,1,0.050613,4438,9768
v0_original,2,0.050096,4438,9768
v0_original,3,0.050328,4438,9768
v0_original,0,0.050668,4438,9768
v0_original,1,0.050218,4438,9768
v0_original,2,0.049933,4438,9768
v0_original,3,0.050397,4438,9768
v0_original,0,0.051608,4438,9768
v0_original,1,0.050331,4438,9768
v0_original,2,0.050193,4438,9768
v0_original,3,0.050657,4438,9768
v0_original,0,0.039261,4438,9768
v0_original,1,0.036488,4438,9768
v0_original,2,0.050954,4438,9768
v0_original,3,0.050304,4438,9768
v0_original,0,0.049149,4438,9768
v0_original,1,0.029160,4438,9768
v0_original,2,0.029103,4438,9768
v0_original,3,0.029485,4438,9768
v0_original,0,0.037016,4438,9768
v0_original,1,0.038961,4438,9768
v0_original,2,0.050737,4438,9768
v0_original,3,0.050328,4438,9768
v0_original,0,0.051228,4438,9768
v0_original,1,0.050860,4438,9768
v0_original,2,0.051157,4438,9768
v0_original,3,0.050567,4438,9768
v0_original,0,0.050925,4438,9768
v0_original,1,0.050111,4438,9768
v0_original,2,0.050520,4438,9768
v0_original,3,0.050341,4438,9768
v0_original,0,0.051009,4438,9768
v0_original,1,0.050035,4438,9768
v0_original,2,0.050356,4438,9768
v0_original,3,0.050663,4438,9768
