x,y
1.0,3.2
2.0,6.1
3.0,7.5
4.0,9.2
5.0,10.6
6.0,13.7
7.0,14.7
8.0,19.0
9.0,21.3
10.0,20.4
11.0,24.5
12.0,25.1
13.0,27.3
14.0,31.1
15.0,28.9
16.0,30.9
17.0,32.6
18.0,38.7
19.0,40.4
20.0,42.9
21.0,45.4
22.0,46.5
23.0,46.8
24.0,50.4
25.0,49.1
26.0,53.7
27.0,53.2
28.0,59.2
29.0,59.1
30.0,60.6
31.0,61.8
32.0,66.4
33.0,66.8
34.0,69.3
35.0,68.6
36.0,73.6
37.0,75.6
38.0,77.6
39.0,81.2
40.0,81.9
41.0,82.3
42.0,84.7
43.0,88.0
44.0,86.8
45.0,91.8
46.0,93.9
47.0,93.6
48.0,95.1
49.0,98.1
50.0,100.3
51.0,103.4
52.0,104.7
53.0,109.4
54.0,107.0
55.0,109.5
56.0,111.3
57.0,115.8
58.0,115.8
59.0,118.8
60.0,119.7
61.0,121.3
62.0,123.1
63.0,127.8
64.0,127.2
65.0,129.5
66.0,132.3
67.0,136.6
68.0,135.0
69.0,140.7
70.0,139.0
71.0,145.4
72.0,144.8
73.0,149.4
74.0,149.5
75.0,152.2
76.0,150.7
77.0,153.9
78.0,155.1
79.0,158.0
80.0,159.1
81.0,162.1
82.0,164.6
83.0,164.8
84.0,170.0
85.0,171.3
86.0,171.8
87.0,175.1
88.0,175.0
89.0,179.4
90.0,183.1
91.0,182.1
92.0,185.8
93.0,185.2
94.0,190.1
95.0,189.9
96.0,191.4
97.0,195.4
98.0,194.6
99.0,200.6
100.0,198.5
101.0,203.9
102.0,203.9
103.0,208.2
104.0,211.3
105.0,209.7
106.0,213.4
107.0,215.5
108.0,217.4
109.0,217.6
110.0,223.3
111.0,222.7
112.0,226.7
113.0,228.0
114.0,228.0
115.0,232.6
116.0,232.5
117.0,236.9
118.0,237.4
119.0,240.9
120.0,242.0
121.0,244.1
122.0,245.0
123.0,249.3
124.0,249.7
125.0,250.6
126.0,253.5
127.0,252.6
128.0,256.0
129.0,259.8
130.0,260.0
131.0,263.6
132.0,264.6
133.0,265.2
134.0,268.0
135.0,271.3
136.0,273.5
137.0,275.4
138.0,277.8
139.0,279.8
140.0,280.7
141.0,285.0
142.0,284.3
143.0,286.7
144.0,291.0
145.0,292.5
146.0,294.0
147.0,293.0
148.0,299.1
149.0,300.1
150.0,303.5
151.0,301.2
152.0,306.8
153.0,305.3
154.0,309.6
155.0,309.1
156.0,314.7
157.0,316.5
158.0,317.3
159.0,318.5
160.0,318.8
161.0,324.0
162.0,324.8
163.0,328.1
164.0,330.8
165.0,333.4
166.0,334.8
167.0,332.6
168.0,336.3
169.0,340.1
170.0,339.4
171.0,343.1
172.0,342.8
173.0,345.5
174.0,346.6
175.0,352.5
176.0,351.6
177.0,354.2
178.0,359.1
179.0,360.0
180.0,358.7
181.0,361.3
182.0,365.6
183.0,367.4
184.0,367.7
185.0,373.2
186.0,373.6
187.0,375.2
188.0,377.4
189.0,380.2
190.0,380.1
191.0,382.5
192.0,383.5
193.0,385.4
194.0,391.2
195.0,392.2
196.0,393.0
197.0,393.6
198.0,395.8
199.0,396.8
200.0,400.7
201.0,402.1
202.0,406.0
203.0,406.4
204.0,407.4
205.0,408.6
206.0,410.8
207.0,415.9
208.0,416.8
209.0,419.2
210.0,423.0
211.0,425.5
212.0,423.6
213.0,427.8
214.0,427.8
215.0,428.6
216.0,434.3
217.0,434.1
218.0,436.4
219.0,439.4
220.0,442.7
221.0,443.6
222.0,446.9
223.0,445.9
224.0,450.5
225.0,449.4
226.0,455.3
227.0,455.9
228.0,455.6
229.0,461.2
230.0,462.2
231.0,461.8
232.0,463.6
233.0,467.1
234.0,466.6
235.0,469.5
236.0,472.6
237.0,474.4
238.0,476.8
239.0,477.9
240.0,481.4
241.0,484.8
242.0,483.1
243.0,487.1
244.0,487.2
245.0,492.1
246.0,492.5
247.0,495.3
248.0,495.4
249.0,497.2
250.0,500.9
251.0,502.3
252.0,507.2
253.0,508.3
254.0,510.2
255.0,513.0
256.0,510.9
257.0,515.3
258.0,517.4
259.0,521.3
260.0,520.0
261.0,521.7
262.0,523.0
263.0,524.6
264.0,531.1
265.0,531.8
266.0,534.4
267.0,533.9
268.0,537.4
269.0,536.8
270.0,540.9
271.0,545.4
272.0,546.9
273.0,546.2
274.0,551.3
275.0,549.7
276.0,555.2
277.0,557.2
278.0,558.5
279.0,559.7
280.0,562.9
281.0,562.0
282.0,566.7
283.0,567.6
284.0,566.6
285.0,570.2
286.0,571.2
287.0,577.4
288.0,576.9
289.0,579.0
290.0,581.7
291.0,582.3
292.0,583.2
293.0,588.6
294.0,587.4
295.0,591.1
296.0,591.6
297.0,593.0
298.0,598.8
299.0,601.4
300.0,603.3
301.0,605.0
302.0,606.4
303.0,606.2
304.0,606.9
305.0,610.5
306.0,611.7
307.0,613.2
308.0,614.8
309.0,620.1
310.0,618.6
311.0,624.4
312.0,623.2
313.0,624.9
314.0,626.9
315.0,631.9
316.0,631.7
317.0,634.6
318.0,637.3
319.0,640.8
320.0,642.1
321.0,641.9
322.0,643.2
323.0,644.8
324.0,648.0
325.0,649.8
326.0,652.8
327.0,655.9
328.0,658.0
329.0,657.9
330.0,660.4
331.0,661.4
332.0,666.4
333.0,664.8
334.0,670.0
335.0,672.4
336.0,674.4
337.0,673.8
338.0,676.4
339.0,679.4
340.0,679.9
341.0,682.4
342.0,683.5
343.0,686.8
344.0,686.7
345.0,692.5
346.0,690.9
347.0,695.1
348.0,696.0
349.0,699.4
350.0,703.3
351.0,703.7
352.0,702.7
353.0,706.7
354.0,709.1
355.0,711.2
356.0,713.9
357.0,713.9
358.0,715.1
359.0,718.5
360.0,723.3
361.0,721.4
362.0,727.0
363.0,727.2
364.0,728.8
365.0,732.9
366.0,732.8
367.0,736.1
368.0,736.5
369.0,741.0
370.0,742.0
371.0,744.0
372.0,744.1
373.0,748.3
374.0,749.7
375.0,749.7
376.0,751.3
377.0,756.5
378.0,759.3
379.0,758.8
380.0,761.5
381.0,764.8
382.0,764.8
383.0,769.3
384.0,769.4
385.0,772.6
386.0,775.0
387.0,776.6
388.0,775.3
389.0,779.6
390.0,780.5
391.0,780.8
392.0,784.6
393.0,785.8
394.0,790.7
395.0,788.7
396.0,795.3
397.0,794.3
398.0,796.3
399.0,796.6
400.0,799.4
401.0,802.5
402.0,807.1
403.0,805.0
404.0,811.2
405.0,812.8
406.0,812.8
407.0,814.1
408.0,815.7
409.0,819.6
410.0,818.7
411.0,820.6
412.0,824.6
413.0,824.8
414.0,827.8
415.0,829.6
416.0,831.8
417.0,833.2
418.0,834.6
419.0,837.1
420.0,841.6
421.0,845.4
422.0,847.5
423.0,846.5
424.0,847.3
425.0,851.7
426.0,853.0
427.0,857.4
428.0,854.8
429.0,860.4
430.0,859.9
431.0,861.7
432.0,865.8
433.0,865.7
434.0,869.8
435.0,871.1
436.0,872.6
437.0,875.3
438.0,875.9
439.0,880.0
440.0,880.6
441.0,882.3
442.0,886.6
443.0,889.1
444.0,886.7
445.0,889.7
446.0,892.2
447.0,896.6
448.0,899.4
449.0,901.3
450.0,903.0
451.0,902.0
452.0,907.5
453.0,905.7
454.0,907.0
455.0,913.3
456.0,911.7
457.0,915.9
458.0,914.8
459.0,920.2
460.0,922.9
461.0,921.9
462.0,924.4
463.0,926.4
464.0,930.2
465.0,929.7
466.0,931.4
467.0,934.7
468.0,936.0
469.0,940.7
470.0,939.7
471.0,943.0
472.0,947.2
473.0,947.7
474.0,950.8
475.0,953.2
476.0,954.3
477.0,956.0
478.0,959.3
479.0,961.5
480.0,960.8
481.0,960.9
482.0,964.0
483.0,965.3
484.0,968.6
485.0,969.2
486.0,973.5
487.0,974.4
488.0,979.0
489.0,981.3
490.0,981.2
491.0,981.9
492.0,985.5
493.0,989.0
494.0,988.5
495.0,991.3
496.0,991.9
497.0,994.8
498.0,996.5
499.0,997.7
500.0,1001.0
501.0,1002.1
502.0,1004.4
503.0,1007.1
504.0,1010.3
505.0,1010.2
506.0,1015.1
507.0,1016.8
508.0,1014.7
509.0,1017.8
510.0,1020.7
511.0,1021.0
512.0,1024.2
513.0,1028.2
514.0,1029.9
515.0,1031.6
516.0,1034.1
517.0,1033.5
518.0,1036.2
519.0,1039.9
520.0,1042.9
521.0,1043.2
522.0,1043.9
523.0,1044.7
524.0,1050.1
525.0,1048.5
526.0,1052.4
527.0,1055.2
528.0,1059.1
529.0,1056.9
530.0,1060.5
531.0,1060.6
532.0,1064.2
533.0,1067.6
534.0,1067.9
535.0,1069.5
536.0,1071.1
537.0,1075.4
538.0,1078.0
539.0,1079.9
540.0,1083.2
541.0,1080.5
542.0,1085.7
543.0,1087.5
544.0,1089.4
545.0,1093.3
546.0,1090.6
547.0,1096.0
548.0,1098.6
549.0,1099.0
550.0,1100.2
551.0,1104.5
552.0,1103.0
553.0,1106.7
554.0,1109.1
555.0,1112.0
556.0,1111.0
557.0,1113.6
558.0,1116.6
559.0,1119.6
560.0,1122.9
561.0,1123.6
562.0,1123.2
563.0,1129.4
564.0,1130.9
565.0,1131.0
566.0,1135.1
567.0,1135.2
568.0,1139.1
569.0,1140.6
570.0,1143.3
571.0,1145.1
572.0,1142.7
573.0,1145.4
574.0,1148.4
575.0,1153.3
576.0,1152.0
577.0,1153.3
578.0,1158.9
579.0,1158.7
580.0,1163.0
581.0,1161.3
582.0,1165.8
583.0,1166.7
584.0,1166.9
585.0,1172.0
586.0,1171.7
587.0,1172.7
588.0,1174.8
589.0,1176.8
590.0,1183.0
591.0,1184.2
592.0,1187.0
593.0,1187.9
594.0,1189.1
595.0,1190.0
596.0,1195.5
597.0,1194.3
598.0,1196.9
599.0,1198.4
600.0,1203.4
601.0,1201.4
602.0,1204.1
603.0,1207.9
604.0,1206.8
605.0,1211.5
606.0,1212.9
607.0,1213.9
608.0,1215.7
609.0,1219.1
610.0,1220.3
611.0,1222.8
612.0,1224.2
613.0,1229.4
614.0,1227.2
615.0,1229.0
616.0,1232.2
617.0,1235.5
618.0,1237.8
619.0,1238.5
620.0,1243.5
621.0,1242.3
622.0,1246.1
623.0,1247.7
624.0,1250.6
625.0,1253.4
626.0,1254.9
627.0,1256.3
628.0,1258.0
629.0,1258.2
630.0,1259.2
631.0,1260.8
632.0,1263.7
633.0,1266.7
634.0,1269.1
635.0,1272.4
636.0,1275.3
637.0,1273.1
638.0,1275.0
639.0,1279.4
640.0,1282.2
641.0,1284.7
642.0,1287.2
643.0,1289.4
644.0,1288.5
645.0,1290.4
646.0,1291.2
647.0,1295.9
648.0,1297.8
649.0,1300.8
650.0,1299.0
651.0,1303.0
652.0,1305.4
653.0,1305.7
654.0,1307.3
655.0,1312.8
656.0,1310.8
657.0,1314.9
658.0,1315.1
659.0,1318.8
660.0,1323.4
661.0,1322.6
662.0,1326.8
663.0,1325.1
664.0,1327.9
665.0,1330.5
666.0,1332.5
667.0,1335.9
668.0,1336.2
669.0,1340.1
670.0,1341.7
671.0,1342.5
672.0,1344.7
673.0,1347.6
674.0,1346.9
675.0,1352.6
676.0,1353.8
677.0,1356.1
678.0,1357.2
679.0,1357.1
680.0,1360.5
681.0,1362.5
682.0,1364.1
683.0,1364.6
684.0,1370.2
685.0,1369.0
686.0,1373.5
687.0,1376.0
688.0,1377.7
689.0,1381.3
690.0,1379.0
691.0,1384.8
692.0,1382.6
693.0,1387.2
694.0,1388.5
695.0,1391.1
696.0,1392.3
697.0,1393.5
698.0,1394.6
699.0,1399.1
700.0,1402.7
701.0,1402.4
702.0,1403.6
703.0,1404.9
704.0,1406.9
705.0,1409.6
706.0,1411.0
707.0,1413.8
708.0,1414.8
709.0,1416.8
710.0,1422.8
711.0,1421.3
712.0,1425.3
713.0,1428.4
714.0,1428.8
715.0,1429.3
716.0,1431.5
717.0,1434.7
718.0,1437.1
719.0,1438.2
720.0,1442.4
721.0,1444.3
722.0,1447.1
723.0,1444.6
724.0,1451.0
725.0,1450.5
726.0,1454.9
727.0,1456.0
728.0,1459.4
729.0,1460.3
730.0,1460.3
731.0,1463.0
732.0,1464.4
733.0,1466.3
734.0,1467.8
735.0,1471.0
736.0,1473.9
737.0,1473.9
738.0,1477.1
739.0,1477.1
740.0,1479.3
741.0,1480.7
742.0,1487.4
743.0,1484.5
744.0,1487.4
745.0,1491.6
746.0,1490.9
747.0,1496.9
748.0,1498.1
749.0,1501.3
750.0,1501.0
751.0,1502.0
752.0,1505.2
753.0,1509.2
754.0,1509.1
755.0,1509.8
756.0,1514.9
757.0,1514.4
758.0,1514.5
759.0,1517.7
760.0,1520.1
761.0,1524.8
762.0,1524.8
763.0,1526.7
764.0,1528.2
