(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.044592
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.036347
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050040
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050578
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.048868
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.044579
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050746
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050674
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.046115
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.041181
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.049986
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.049943
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.044687
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.031705
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.043534
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050465
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.048523
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050882
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050547
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.041975
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.029130
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.030121
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.049073
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050027
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.050441
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.050734
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050010
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050422
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.050950
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.051001
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050358
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050413
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.041429
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.034007
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.039452
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050569
(Notebook) Dataset 0: a=1.999793, b=1.069702, mse=2.073502, tempo_cpu=0.042846
(Notebook) Dataset 1: a=59.999851, b=70.115234, mse=2.233200, tempo_cpu=0.049618
(Notebook) Dataset 2: a=99.999863, b=1000.031250, mse=2.042100, tempo_cpu=0.050247
(Notebook) Dataset 3: a=299.999603, b=0.093750, mse=2.010517, tempo_cpu=0.050764
