versao,dataset,tempo,code_sz,data_sz
v0_original,0,0.044592,4438,9768
v0_original,1,0.036347,4438,9768
v0_original,2,0.050040,4438,9768
v0_original,3,0.050578,4438,9768
v0_original,0,0.048868,4438,9768
v0_original,1,0.044579,4438,9768
v0_original,2,0.050746,4438,9768
v0_original,3,0.050674,4438,9768
v0_original,0,0.046115,4438,9768
v0_original,1,0.041181,4438,9768
v0_original,2,0.049986,4438,9768
v0_original,3,0.049943,4438,9768
v0_original,0,0.044687,4438,9768
v0_original,1,0.031705,4438,9768
v0_original,2,0.043534,4438,9768
v0_original,3,0.050465,4438,9768
v0_original,0,0.048523,4438,9768
v0_original,1,0.050882,4438,9768
v0_original,2,0.050547,4438,9768
v0_original,3,0.041975,4438,9768
v0_original,0,0.029130,4438,9768
v0_original,1,0.030121,4438,9768
v0_original,2,0.049073,4438,9768
v0_original,3,0.050027,4438,9768
v0_original,0,0.050441,4438,9768
v0_original,1,0.050734,4438,9768
v0_original,2,0.050010,4438,9768
v0_original,3,0.050422,4438,9768
v0_original,0,0.050950,4438,9768
v0_original,1,0.051001,4438,9768
v0_original,2,0.050358,4438,9768
v0_original,3,0.050413,4438,9768
v0_original,0,0.041429,4438,9768
v0_original,1,0.034007,4438,9768
v0_original,2,0.039452,4438,9768
v0_original,3,0.050569,4438,9768
v0_original,0,0.042846,4438,9768
v0_original,1,0.049618,4438,9768
v0_original,2,0.050247,4438,9768
v0_original,3,0.050764,4438,9768
