x,y
1.0,130.0
2.0,190.0
3.0,250.0
4.0,310.0
5.0,370.0
6.0,430.0
7.0,490.0
8.0,550.0
9.0,610.0
10.0,670.0
11.0,730.0
12.0,790.0
13.0,850.0
14.0,910.0
15.0,970.0
16.0,1030.0
17.0,1090.0
18.0,1150.0
19.0,1210.0
20.0,1270.0
21.0,1330.0
22.0,1390.0
23.0,1450.0
24.0,1510.0
25.0,1570.0
26.0,1630.0
27.0,1690.0
28.0,1750.0
29.0,1810.0
30.0,1870.0
31.0,1930.0
32.0,1990.0
33.0,2050.0
34.0,2110.0
35.0,2170.0
36.0,2230.0
37.0,2290.0
38.0,2350.0
39.0,2410.0
40.0,2470.0
41.0,2530.0
42.0,2590.0
43.0,2650.0
44.0,2710.0
45.0,2770.0
46.0,2830.0
47.0,2890.0
48.0,2950.0
49.0,3010.0
50.0,3070.0
51.0,3130.0
52.0,3190.0
53.0,3250.0
54.0,3310.0
55.0,3370.0
56.0,3430.0
57.0,3490.0
58.0,3550.0
59.0,3610.0
60.0,3670.0
61.0,3730.0
62.0,3790.0
63.0,3850.0
64.0,3910.0
65.0,3970.0
66.0,4030.0
67.0,4090.0
68.0,4150.0
69.0,4210.0
70.0,4270.0
71.0,4330.0
72.0,4390.0
73.0,4450.0
74.0,4510.0
75.0,4570.0
76.0,4630.0
77.0,4690.0
78.0,4750.0
79.0,4810.0
80.0,4870.0
81.0,4930.0
82.0,4990.0
83.0,5050.0
84.0,5110.0
85.0,5170.0
86.0,5230.0
87.0,5290.0
88.0,5350.0
89.0,5410.0
90.0,5470.0
91.0,5530.0
92.0,5590.0
93.0,5650.0
94.0,5710.0
95.0,5770.0
96.0,5830.0
97.0,5890.0
98.0,5950.0
99.0,6010.0
100.0,6070.0
