epoca,a,b,mse
0,3.3333518505,-666.3426513672,148152.4843750000
1,1.1111057997,445.8915405273,65844.3203125000
2,2.5925996304,-295.5960693359,29264.4843750000
3,1.6049331427,198.7309570312,13006.4746093750
4,2.2633771896,-130.8203125000,5780.6196289062
5,1.8244159222,88.8798217773,2569.1445312500
6,2.1170558929,-57.5864257812,1141.8391113281
7,1.9219629765,40.0575561523,507.4811706543
8,2.0520246029,-25.0383300781,225.5464630127
9,1.9653171301,18.3587646484,100.2416915894
10,2.0231218338,-10.5724487305,44.5515899658
11,1.9845855236,8.7149658203,19.8004779816
12,2.0102763176,-4.1433105469,8.8002157211
13,1.9931491613,4.4288330078,3.9111652374
14,2.0045671463,-1.2858276367,1.7382332087
15,1.9969552755,2.5238647461,0.7725273371
16,2.0020298958,-0.0159912109,0.3433727622
17,1.9986467361,1.6773071289,0.1526105106
18,2.0009021759,0.5484619141,0.0678268224
19,1.9993985891,1.3010253906,0.0301412288
20,2.0004010201,0.7993164062,0.0134013630
21,1.9997326136,1.1338500977,0.0059577078
22,2.0001783371,0.9107666016,0.0026503240
23,1.9998811483,1.0595092773,0.0011771827
24,2.0000791550,0.9603881836,0.0005221244
25,1.9999471903,1.0264282227,0.0002324134
26,2.0000352859,0.9823608398,0.0001037706
27,1.9999765158,1.0117797852,0.0000459566
28,2.0000157356,0.9921264648,0.0000206385
29,1.9999895096,1.0052490234,0.0000091718
