epoca,a,b,mse
0,3.3333331390,-666.3063360695,148147.7700079790
1,1.1111166019,445.9130407548,65843.2528572585
2,2.5925905896,-295.5646900958,29263.6503556364
3,1.6049437336,198.7525613417,13006.1305317085
4,2.2633733249,-130.7914490879,5780.6022932950
5,1.8244213614,88.9040086252,2569.2724662650
6,2.1170552721,-57.5592636911,1142.0219016424
7,1.9219664860,40.0826737476,507.6914890296
8,2.0520253516,-25.0117884750,225.7682708231
9,1.9653196580,18.3844111827,100.4696892266
10,2.0231233092,-10.5463162621,44.7817091802
11,1.9845876381,8.7407871499,20.0316195771
12,2.0102780213,-4.1172496463,9.0316347537
13,1.9931511419,4.4547534544,4.1427770543
14,2.0045690330,-1.2599009927,1.9699622743
15,1.9969571246,2.5498591143,1.0042716449
16,2.0020317175,0.0100253926,0.5750779556
17,1.9986486641,1.7032436407,0.3843261586
18,2.0009040274,0.5744342973,0.2995480061
19,1.9994004556,1.3269719782,0.2618690155
20,2.0004028343,0.8252814452,0.2451228813
21,1.9997345835,1.1597409644,0.2376801921
22,2.0001800829,0.9367685090,0.2343723468
23,1.9998830840,1.0854164410,0.2329022007
24,2.0000810828,0.9863180674,0.2322488057
25,1.9999490839,1.0523834846,0.2319584094
26,2.0000370830,1.0083399832,0.2318293450
27,1.9999784171,1.0377022441,0.2317719833
28,2.0000175276,1.0181274525,0.2317464894
29,1.9999914540,1.0311772809,0.2317351588
30,2.0000088363,1.0224774170,0.2317301230
31,1.9999972481,1.0282773118,0.2317278849
32,2.0000049736,1.0244107249,0.2317268902
33,1.9999998233,1.0269884431,0.2317264481
34,2.0000032568,1.0252699686,0.2317262516
35,2.0000009678,1.0264156154,0.2317261643
36,2.0000024938,1.0256518528,0.2317261254
37,2.0000014765,1.0261610266,0.2317261082
38,2.0000021547,1.0258215782,0.2317261005
39,2.0000017025,1.0260478766,0.2317260971
40,2.0000020040,1.0258970114,0.2317260956
41,2.0000018030,1.0259975879,0.2317260949
42,2.0000019370,1.0259305371,0.2317260946
43,2.0000018477,1.0259752375,0.2317260945
44,2.0000019072,1.0259454373,0.2317260944
45,2.0000018675,1.0259653041,0.2317260944
46,2.0000018940,1.0259520596,0.2317260944
47,2.0000018763,1.0259608892,0.2317260944
48,2.0000018881,1.0259550028,0.2317260944
49,2.0000018803,1.0259589271,0.2317260944
50,2.0000018855,1.0259563109,0.2317260944
51,2.0000018820,1.0259580550,0.2317260944
52,2.0000018843,1.0259568923,0.2317260944
53,2.0000018828,1.0259576674,0.2317260944
54,2.0000018838,1.0259571507,0.2317260944
55,2.0000018831,1.0259574952,0.2317260944
56,2.0000018836,1.0259572655,0.2317260944
57,2.0000018833,1.0259574186,0.2317260944
58,2.0000018835,1.0259573165,0.2317260944
59,2.0000018833,1.0259573846,0.2317260944
60,2.0000018834,1.0259573392,0.2317260944
61,2.0000018834,1.0259573695,0.2317260944
62,2.0000018834,1.0259573493,0.2317260944
63,2.0000018834,1.0259573627,0.2317260944
64,2.0000018834,1.0259573538,0.2317260944
65,2.0000018834,1.0259573597,0.2317260944
66,2.0000018834,1.0259573558,0.2317260944
67,2.0000018834,1.0259573584,0.2317260944
68,2.0000018834,1.0259573566,0.2317260944
69,2.0000018834,1.0259573578,0.2317260944
70,2.0000018834,1.0259573570,0.2317260944
71,2.0000018834,1.0259573576,0.2317260944
72,2.0000018834,1.0259573572,0.2317260944
73,2.0000018834,1.0259573575,0.2317260944
74,2.0000018834,1.0259573573,0.2317260944
